user_id,friend_id,Distance
48,2,0.0
48,10,0.0
48,23,0.0
48,36,0.0
48,42,0.0
48,52,0.0
48,61,0.0
48,101,0.0
48,142,0.0
48,169,0.0
48,185,0.0
48,200,0.0
48,203,0.0
48,205,0.0
48,230,0.0
48,237,0.0
48,238,0.0
48,254,0.0
48,255,0.0
48,257,0.0
48,258,0.0
48,260,0.0
48,264,0.0
48,270,0.0
48,277,0.0
48,278,0.0
48,279,0.0
48,280,0.0
48,281,0.0
48,282,0.0
48,283,0.0
48,287,0.0
48,289,0.0
48,290,0.0
48,295,0.0
48,296,0.0
48,303,0.0
48,305,0.0
48,307,0.0
48,308,0.0
48,310,0.0
48,317,0.0
48,325,0.0
48,330,0.0
48,331,0.0
48,339,0.0
48,342,0.0
48,344,0.0
48,345,0.0
48,348,0.0
48,353,0.0
48,354,0.0
48,355,0.0
48,367,0.0
48,372,0.0
48,385,0.0
48,401,0.0
48,419,0.0
48,422,0.0
48,423,0.0
48,424,0.0
48,426,0.0
48,427,0.0
48,431,0.0
48,434,0.0
48,435,0.0
48,437,0.0
48,438,0.0
48,442,0.0
48,444,0.0
48,452,0.0
48,454,0.0
48,455,0.0
48,458,0.0
48,464,0.0
48,465,0.0
48,468,0.0
48,472,0.0
48,485,0.09090909090909091
48,486,0.5
48,491,0.0
48,496,0.0
48,503,0.0
48,505,0.0
48,509,0.0
48,512,0.0
48,514,0.0
48,519,0.0
48,521,0.0
48,526,0.0
48,527,0.0
48,563,0.0
48,585,0.5
48,586,0.0
48,587,0.0
48,597,0.0
48,600,0.0
48,602,0.0
48,607,0.0
48,610,0.5
48,614,0.0
48,625,0.0
48,635,0.0
48,644,0.0
48,659,0.0
48,663,0.0
48,668,0.0
48,673,0.0
48,678,0.0
48,679,0.0
48,702,0.0
48,705,0.0
48,709,0.0
48,727,0.0
48,732,0.0
48,743,0.0
48,745,0.0
48,747,0.0
48,755,0.0
48,756,0.0
48,762,0.0
48,766,0.0
48,773,0.0
48,779,0.0
48,781,0.0
48,782,0.0
48,786,0.0
48,796,0.0
48,804,0.0
48,811,0.0
48,814,0.0
48,825,0.0
48,831,0.0
48,833,0.0
48,834,0.5
48,887,0.0
48,893,0.0
48,914,0.0
48,916,0.0
48,920,0.0
48,926,1.0
48,930,0.0
48,937,0.0
48,942,0.0
48,949,0.0
48,968,0.0
48,976,0.0
48,977,0.0
48,985,0.0
48,1008,0.0
48,1014,0.0
48,1015,0.0
48,1025,0.0
48,1028,0.0
48,1098,0.0
48,1122,0.0
48,1134,0.0
48,1173,0.0
48,1174,0.0
48,1190,0.0
48,1195,0.0
48,1205,0.0
48,1214,0.0
48,1224,0.0
48,1230,0.0
48,1235,0.0
48,1237,0.0
48,1259,0.0
48,1268,0.0
48,1269,0.0
48,1277,0.0
48,1280,0.0
48,1287,0.0
48,1296,0.2
48,1302,0.0
48,1328,0.0
48,1355,0.0
48,1392,0.0
48,1399,0.0
48,1403,0.0
48,1406,0.0
48,1409,0.0
48,1424,0.0
48,1433,0.0
48,1449,0.0
48,1460,0.0
48,1462,0.0
48,1464,0.0
48,1479,0.0
48,1482,0.0
48,1499,0.0
48,1502,0.0
48,1504,0.0
48,1524,0.0
48,1576,0.0
48,1588,0.0
48,1595,0.0
48,1600,0.0
48,1610,0.0
48,1618,0.0
48,1627,0.0
48,1653,0.0
48,1657,0.0
48,1658,0.0
48,1685,0.0
48,1712,0.0
48,1780,0.0
48,1798,0.0
48,1807,0.0
48,1833,0.0
48,1892,0.0
48,1904,0.0
48,1920,0.0
48,1921,0.0
48,1943,0.0
48,1965,0.0
48,1966,0.0
48,1971,0.3333333333333333
48,1973,0.0
48,1977,0.3333333333333333
48,1980,0.0
48,1986,0.0
48,1992,0.0
48,2002,0.0
48,2007,0.0
48,2012,0.0
48,2016,0.0
48,2022,0.0
48,2025,0.0
48,2028,0.25
48,2032,0.0
48,2037,0.0
48,2042,0.0
48,2052,0.0
48,2054,0.0
48,2059,0.0
48,2087,0.0
48,2102,0.0
48,2121,0.0
48,2138,0.0
48,2139,0.0
48,2141,0.3333333333333333
48,2146,0.0
48,2147,0.0
48,2148,0.0
48,2151,0.0
48,2152,0.0
48,2158,0.0
48,2165,0.5
48,2167,0.0
48,2183,0.0
48,2185,0.0
48,2192,0.0
48,2194,0.0
48,2202,0.0
48,2203,0.0
48,2211,0.0
48,2213,0.0
48,2214,0.0
48,2220,0.0
48,2231,0.0
48,2247,0.0
48,2257,0.0
48,2260,0.0
48,2266,0.0
48,2267,0.0
48,2271,0.0
48,2274,0.25
